
Classifying The Data ...
    Number of input layer nodes  : 120
    Number of hidden layer nodes : 20
    Hidden Layer Activation Type : ReLU
    Output Layer Activation Type : Logistic

Frame Number 208, Classification: 3, Probability: 1.000000
Frame Number 209, Classification: 3, Probability: 1.000000
Frame Number 210, Classification: 3, Probability: 1.000000
Frame Number 211, Classification: 3, Probability: 1.000000
Frame Number 212, Classification: 3, Probability: 1.000000
Frame Number 213, Classification: 3, Probability: 1.000000
Frame Number 214, Classification: 3, Probability: 1.000000
Frame Number 215, Classification: 3, Probability: 1.000000
Frame Number 216, Classification: 3, Probability: 1.000000
Frame Number 217, Classification: 3, Probability: 1.000000
Frame Number 218, Classification: 3, Probability: 1.000000
Frame Number 219, Classification: 3, Probability: 1.000000
Frame Number 220, Classification: 3, Probability: 1.000000
Frame Number 221, Classification: 3, Probability: 1.000000
Frame Number 222, Classification: 3, Probability: 1.000000
Frame Number 223, Classification: 3, Probability: 1.000000
Frame Number 224, Classification: 3, Probability: 1.000000
Frame Number 225, Classification: 3, Probability: 1.000000
Frame Number 226, Classification: 3, Probability: 1.000000
Frame Number 227, Classification: 3, Probability: 1.000000
Frame Number 228, Classification: 3, Probability: 1.000000
Frame Number 229, Classification: 3, Probability: 1.000000
Frame Number 230, Classification: 3, Probability: 1.000000
Frame Number 231, Classification: 3, Probability: 1.000000
Frame Number 232, Classification: 3, Probability: 1.000000
Frame Number 233, Classification: 3, Probability: 1.000000
Frame Number 234, Classification: 3, Probability: 1.000000
Frame Number 235, Classification: 3, Probability: 1.000000
Frame Number 236, Classification: 3, Probability: 1.000000
Frame Number 237, Classification: 3, Probability: 1.000000
Frame Number 238, Classification: 3, Probability: 1.000000
Frame Number 239, Classification: 3, Probability: 1.000000
Frame Number 240, Classification: 3, Probability: 1.000000
Frame Number 241, Classification: 3, Probability: 1.000000
Frame Number 242, Classification: 3, Probability: 1.000000
Frame Number 243, Classification: 3, Probability: 1.000000
Frame Number 244, Classification: 3, Probability: 1.000000
Frame Number 245, Classification: 3, Probability: 1.000000
Frame Number 246, Classification: 3, Probability: 1.000000
Frame Number 247, Classification: 3, Probability: 1.000000
Frame Number 248, Classification: 3, Probability: 1.000000
Frame Number 249, Classification: 3, Probability: 1.000000
Frame Number 250, Classification: 3, Probability: 1.000000
Frame Number 251, Classification: 3, Probability: 1.000000
Frame Number 252, Classification: 3, Probability: 1.000000
Frame Number 253, Classification: 3, Probability: 1.000000
Frame Number 254, Classification: 3, Probability: 1.000000
Frame Number 255, Classification: 3, Probability: 1.000000
Frame Number 256, Classification: 3, Probability: 1.000000
Frame Number 257, Classification: 3, Probability: 1.000000
Frame Number 258, Classification: 3, Probability: 1.000000
Frame Number 259, Classification: 3, Probability: 1.000000
Frame Number 260, Classification: 3, Probability: 1.000000
Frame Number 261, Classification: 3, Probability: 1.000000
Frame Number 262, Classification: 3, Probability: 1.000000
Frame Number 263, Classification: 3, Probability: 1.000000
Frame Number 264, Classification: 3, Probability: 1.000000
Frame Number 265, Classification: 3, Probability: 1.000000
Frame Number 266, Classification: 3, Probability: 1.000000
Frame Number 267, Classification: 3, Probability: 1.000000
Frame Number 268, Classification: 3, Probability: 1.000000
Frame Number 269, Classification: 3, Probability: 1.000000
Frame Number 270, Classification: 3, Probability: 1.000000
Frame Number 271, Classification: 3, Probability: 1.000000
Frame Number 272, Classification: 3, Probability: 1.000000
Frame Number 273, Classification: 3, Probability: 1.000000
Frame Number 274, Classification: 3, Probability: 1.000000
Frame Number 275, Classification: 3, Probability: 1.000000
Frame Number 276, Classification: 3, Probability: 1.000000
Frame Number 277, Classification: 3, Probability: 1.000000
Frame Number 278, Classification: 3, Probability: 1.000000
Frame Number 279, Classification: 3, Probability: 1.000000
Frame Number 280, Classification: 3, Probability: 1.000000
Frame Number 281, Classification: 3, Probability: 1.000000
Frame Number 282, Classification: 3, Probability: 1.000000
Frame Number 283, Classification: 3, Probability: 1.000000
Frame Number 284, Classification: 3, Probability: 1.000000
Frame Number 285, Classification: 3, Probability: 1.000000
Frame Number 286, Classification: 3, Probability: 1.000000
Frame Number 287, Classification: 3, Probability: 1.000000
Frame Number 288, Classification: 3, Probability: 1.000000
Frame Number 289, Classification: 3, Probability: 1.000000
Frame Number 290, Classification: 3, Probability: 1.000000
Frame Number 291, Classification: 3, Probability: 1.000000
Frame Number 292, Classification: 3, Probability: 1.000000
Frame Number 293, Classification: 3, Probability: 1.000000
Frame Number 294, Classification: 3, Probability: 1.000000
Frame Number 295, Classification: 3, Probability: 1.000000
Frame Number 296, Classification: 3, Probability: 1.000000
Frame Number 297, Classification: 3, Probability: 1.000000
Frame Number 298, Classification: 3, Probability: 1.000000
Frame Number 299, Classification: 3, Probability: 1.000000
Frame Number 300, Classification: 3, Probability: 1.000000
Frame Number 301, Classification: 3, Probability: 1.000000
Frame Number 302, Classification: 3, Probability: 1.000000
Frame Number 303, Classification: 3, Probability: 1.000000
Frame Number 304, Classification: 3, Probability: 1.000000
Frame Number 305, Classification: 3, Probability: 1.000000
Frame Number 306, Classification: 3, Probability: 1.000000
Frame Number 307, Classification: 3, Probability: 1.000000
Frame Number 308, Classification: 3, Probability: 1.000000
Frame Number 309, Classification: 3, Probability: 1.000000
Frame Number 310, Classification: 3, Probability: 1.000000
Frame Number 311, Classification: 3, Probability: 1.000000
Frame Number 312, Classification: 3, Probability: 1.000000
Frame Number 313, Classification: 3, Probability: 1.000000
Frame Number 314, Classification: 3, Probability: 1.000000
Frame Number 315, Classification: 3, Probability: 1.000000
Frame Number 316, Classification: 3, Probability: 1.000000
Frame Number 317, Classification: 3, Probability: 1.000000
Frame Number 318, Classification: 3, Probability: 1.000000
Frame Number 319, Classification: 3, Probability: 1.000000
Frame Number 320, Classification: 3, Probability: 1.000000
Frame Number 321, Classification: 3, Probability: 1.000000
Frame Number 322, Classification: 3, Probability: 1.000000
Frame Number 323, Classification: 3, Probability: 1.000000
Frame Number 324, Classification: 3, Probability: 1.000000
Frame Number 325, Classification: 3, Probability: 1.000000
Frame Number 326, Classification: 3, Probability: 1.000000
Frame Number 327, Classification: 3, Probability: 1.000000
Frame Number 328, Classification: 3, Probability: 1.000000
Frame Number 329, Classification: 3, Probability: 1.000000
Frame Number 330, Classification: 3, Probability: 1.000000
Frame Number 331, Classification: 3, Probability: 1.000000
Frame Number 332, Classification: 3, Probability: 1.000000
Frame Number 333, Classification: 3, Probability: 1.000000
Frame Number 334, Classification: 3, Probability: 1.000000
Frame Number 335, Classification: 3, Probability: 1.000000
Frame Number 336, Classification: 3, Probability: 1.000000
Frame Number 337, Classification: 3, Probability: 1.000000
